id,ingredient_name,group_name,water_g,energy_kcal,protein_g,fat_g,ash_g,cho_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,iodine_mg,selenium_mg,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_b6_mg,folate_ug,choline_mg,vitamin_b12_ug,vitamin_a_iu,vitamin_e_mg,vitamin_d_iu,pufa_18_2_g,pufa_18_3_g,pufa_20_5_g,pufa_22_6_g,tryptophan_g,threonine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,valine_g,arginine_g,histidine_g
120,"Chicken leg, meat only",Meat Group C,76.4,508.4745763,81.3559322,17.88135593,4.025423729,0.0,0.0,42.37288136,3.305084746,97.45762712,762.7118644,1008.474576,406.779661,7.457627119,0.254237288,0,0.088983051,0.368644068,0.758474576,23.6440678,4.957627119,1.720338983,0.016949153,0.0,0.002415254,135.5932203,0.762711864,4.237288136,3.190677966,0.152542373,0.0,0.0,0.919491525,3.792372881,3.923728814,6.822033898,7.584745763,2.313559322,0.957627119,3.241525424,3.012711864,3.953389831,5.593220339,
81,"Chicken thigh, no skin",Meat Group C,72.9,542.4354244,68.63468635,29.22509225,3.542435424,0.0,0.0,22.1402214,2.21402214,80.44280443,656.8265683,1003.690037,228.7822878,4.981549815,0.15498155,0,0.04797048,0.346863469,0.653136531,35.42435424,5.535055351,2.992619926,0.033210332,302.9520295,0.000774908,110.701107,2.066420664,3.6900369,1.177121771,0.04797048,0.011070111,0.014760148,1.044280443,3.726937269,4.05904059,6.863468635,7.970479705,2.158671587,0.870848708,3.350553506,2.988929889,4.280442804,5.608856089,
121,Turkey (ground),Meat Group C,72.4,536.2318841,71.37681159,27.75362319,3.623188406,0.0,0.0,68.84057971,3.949275362,83.33333333,724.6376812,858.6956522,210.1449275,8.514492754,0.347826087,0,0.079347826,0.239130435,0.565217391,24.38405797,3.597826087,2.043478261,0.025362319,0.0,0.003623188,239.1304348,0.326086957,50.72463768,6.992753623,0.391304348,0.0,0.0,0.807971014,3.264492754,3.188405797,5.869565217,6.376811594,2.094202899,0.753623188,2.77173913,2.52173913,3.297101449,5.18115942,
30,"Pork loin, boneless",Meat Group C,70.1,555.18396,71.23746,27.859531,3.244147,0.0,0.0,23.411371,1.7725753,80.26755853,722.4080268,1197.324415,157.1906355,5.785953177,0.18729097,0,0.088628763,1.424749164,0.605351171,18.62876254,2.414715719,2.401337793,0.00669,191.638796,0.00180602,16.72240803,0.401337793,70.23411371,3.053511706,0.137123746,0.0,0.0,0.752508361,3.204013378,3.511705686,6.086956522,6.622073579,1.966555184,0.822742475,3.0,2.715719064,3.745819398,4.74916388,1.7809
29,Pork shoulder lean,Meat Group C,72.6,540.146,71.532845,26.058393,3.7226276,0.0,0.0,51.09489,4.4525547,76.64233577,737.2262774,1244.525547,277.3722628,11.45985401,0.354014599,0,0.107664234,3.226277372,1.145985401,15.62043796,3.0,1.51459854,0.018248175,0.0,0.003065693,21.89781022,0.0,0.0,2.262773723,0.109489051,0.0,0.0,0.905109489,3.259124088,3.339416058,5.729927007,6.423357664,1.890510949,0.908759124,2.846715328,2.48540146,3.868613139,4.452554745,1.7883
31,Trout (fish),Meat Group C,73.8,538.16797,75.9542,23.587786,4.6183205,0.0,0.0,95.419846,1.1832061,95.41984733,862.5954198,1438.931298,194.6564885,1.717557252,0.175572519,0,0.090076336,0.458015267,0.34351145,21.25954198,6.374045802,1.297709924,0.041984733,248.0916031,0.016412214,1068.70229,8.93129771,2423.664122,1.877862595,0.255725191,0.828244275,1.969465649,0.893129771,3.492366412,3.671755725,6.488549618,7.328244275,2.358778626,0.854961832,3.110687023,2.687022901,4.122137405,4.770992366,1.8989
32,Beef tongue,Organ Meat,64.5,630.9859,41.971832,45.35211,2.2535212,10.366198,0.0,16.90141,8.309859,45.07042254,374.6478873,887.3239437,194.3661972,8.084507042,0.478873239,0,0.026478873,0.352112676,0.957746479,11.94366197,1.83943662,0.873239437,0.01971831,0.0,0.010676056,0.0,0.0,0.0,1.633802817,0.0,0.0,0.0,0.321126761,1.825352113,1.805633803,3.126760563,3.23943662,0.887323944,0.549295775,1.732394366,1.357746479,2.008450704,2.673239437,1.0493
33,Chicken liver,Organ Meat (Liver),76.5,506.38297,71.914894,20.553192,4.510638,3.106383,0.0,34.042553,38.255318,80.85106383,1263.829787,978.7234043,302.1276596,11.36170213,2.093617021,0,0.232340426,1.29787234,7.574468085,41.40425532,26.5106383,3.629787234,2.50212766,825.5319149,0.070638298,47234.04255,2.978723404,0.0,2.021276596,0.05106383,0.0,0.0,0.74893617,3.085106383,3.459574468,6.425531915,5.659574468,1.838297872,1.157446809,3.506382979,2.778723404,4.246808511,4.638297872,1.7979
34,"Chicken heart,",Organ Meat,73.6,579.5455,59.090908,35.340908,3.219697,2.689394,0.0,45.454544,22.575758,56.81818182,670.4545455,666.6666667,280.3030303,24.96212121,1.310606061,0,0.016287879,0.575757576,2.757575758,18.48484848,9.696969697,1.363636364,0.2727273,0.0,0.027613636,113.6363636,0.0,0.0,7.234848485,0.265151515,0.0,0.0,0.753787879,2.666666667,3.15530303,5.151515152,4.924242424,1.424242424,0.799242424,2.636363636,2.109848485,3.333333333,3.776515152,1.4773
35,Chicken gizzards,Organ Meat,79.3,454.1063,85.50725,9.951691,4.589372,0.0,0.0,53.140095,12.028986,72.46376812,714.9758454,1144.927536,333.3333333,13.14009662,0.560386473,0,0.123188406,0.1352657,1.115942029,17.77777778,3.048309179,0.541062802,0.024154589,5.845410628,0.309178744,1.594202899,0.0,0.0,1.188405797,0.014492754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1377
